ID,nest_key,location,site,nest,species,exp_year,attempt_num,clutch_init_doy,ci_last_checked,clutch_comp_doy,cc_last_checked,clutch_size,egg_loss_num,egg_loss_reason,egg_loss_doy,incubation_failure,inc_fail_doy,eggs_swapped,hatch_doy,hd_last_checked,brood_size_hatching,day6_brood_mass,brood_size_day6,chick_loss_incid1_doy,chick_loss1_num_lost,chick_loss1_reason,chick_loss_incid2_doy,chick_loss2_num_lost,chick_loss2_reason,chick_loss_incid3_doy,chick_loss3_num_lost,chick_loss3_reason,chick_loss_incid4_doy,chick_loss4_num_lost,chick_loss4_reason,chick_abandon_female,chick_abandon_male,nest_fate_doy,nest_fate,nf_last_checked,num_fledged,nest_experiment,nest_treatment,female_id,male_id,fecal_sample_nb,nest_notes
,Unit_1_5_1986_134,Ithaca,Unit_1,5,TRES,1986,1,134,2,138,1,5,5,D,,,,,,-8,0,,,,,-8,,,,,,,,,,,,145,Failed,3,0,,NUL.0.000,203040163,,,
,Unit_1_8_1986_135,Ithaca,Unit_1,8,TRES,1986,1,135,2,139,2,5,2,X,,,,,154,3,3,,,,2,D,,,,,,,,,,,,177,Fledged,9,1,E,MAN.3.041,,,,
,Unit_1_10_1986_135,Ithaca,Unit_1,10,TRES,1986,1,135,2,140,2,6,0,NL,,,,,154,9,6,,,,1,D,,,,,,,,,,,,176,Fledged,7,5,C,CON.0.041,,203040180,,
,Unit_1_11_1986_137,Ithaca,Unit_1,11,TRES,1986,1,137,2,141,1,5,0,NL,,,,,155,3,2,,,,0,NL,,,,,,,,,,,,177,Fledged,7,2,,NUL.0.000,,203040165,,
,Unit_1_12_1986_136,Ithaca,Unit_1,12,TRES,1986,1,136,1,141,1,6,0,NL,,,,,154,3,6,,,,3,X,,,,,,,,,,,,175,Fledged,5,3,L,MAN.1.041,203040183,,,
,Unit_1_15_1986_140,Ithaca,Unit_1,15,TRES,1986,1,140,1,144,1,5,2,X,,,,,158,6,3,,,,0,NL,,,,,,,,,,,,177,Fledged,4,3,E,MAN.3.041,203040265,,,
,Unit_1_17_1986_137,Ithaca,Unit_1,17,TRES,1986,1,137,1,140,1,4,0,NL,,,,,155,1,3,,,,0,NL,,,,,,,,,,,,175,Fledged,6,3,,NUL.0.000,,203040167,,
,Unit_1_21_1986_137,Ithaca,Unit_1,21,TRES,1986,1,137,1,142,2,6,0,NL,,,,,156,4,5,,,,2,X,,,,,,,,,,,,175,Fledged,4,3,L,MAN.1.041,,203040141,,
,Unit_1_22_1986_138,Ithaca,Unit_1,22,TRES,1986,1,138,1,142,2,5,0,NL,,,,,156,4,5,,,,0,NL,,,,,,,,,,,,179,Fledged,8,5,C,CON.0.041,,203040147,,
,Unit_1_25_1986_136,Ithaca,Unit_1,25,TRES,1986,1,136,1,141,2,6,0,NL,,,,,155,1,6,,,,6,D,,,,,,,,,,,,173,Failed,3,0,,NUL.0.000,,,,
