,treatments,exclude_female,exclude_male,exclude_nestling,exclude_fitness
309,???.7.???,no,no,no,no
31,A,no,no,no,no
7,ACTH_Control,no,no,no,no
6,ACTH_Treatment,no,no,no,no
336,AdultCortValid_Control,yes,no,yes,yes
332,AdultCortValid_High,yes,no,yes,yes
329,AdultCortValid_Low,yes,no,yes,yes
271,AdultMultiple_NestlingCortValid,no,no,no,no
53,ADULTPHYS,no,no,no,no
285,AdultRadio_NestlingCortValid,no,no,no,no
122,ALTILOG,no,no,no,no
123,BCA,no,no,no,no
119,BCC,no,no,no,no
121,BDA,no,no,no,no
126,BDC,no,no,no,no
120,BKPK,no,no,no,no
132,BKPKCTRL,no,no,no,no
89,BLOOD,no,no,no,no
200,BLOOD.DC,no,no,no,no
37,BLOOD.PA,no,no,no,no
160,BLOODF.MH,no,no,no,no
194,BLOODT.AB,no,no,no,no
43,bscon,no,no,no,no
62,bscon/diet,no,no,no,no
327,BSControl,no,no,no,no
324,Buffer,no,no,no,no
30,C,no,no,no,no
201,CLIP.SP,yes,yes,yes,yes
42,Cold,yes,yes,yes,yes
252,Cold,yes,yes,yes,yes
86,Cold_Cold,yes,yes,yes,yes
270,Cold_Cold,yes,yes,yes,yes
76,Cold_Control,no,no,no,no
266,Cold_Control,no,no,no,no
40,Color_Dull,no,no,no,no
251,Color_Dull,no,no,no,no
57,Color_Sham,no,no,no,no
256,Color_Sham,no,no,no,no
52,COLORMRK,no,no,no,no
242,CON.0.000,no,no,no,no
245,CON.0.041,no,no,no,no
254,CON.0.072,no,no,no,no
286,Cont_Con,no,no,no,no
294,Cont_Dul,no,no,no,no
9,Control,no,no,no,no
25,CONTROL,no,no,no,no
152,control,no,no,no,no
240,Control,no,no,no,no
289,control,no,no,no,no
82,Control_Control,no,no,no,no
313,Control_Cool,yes,yes,yes,yes
146,Control_Dull,no,no,no,no
293,Control_Novel,no,no,no,no
87,Control_Predator,yes,yes,yes,yes
138,Control_Tape,yes,yes,yes,yes
288,control/High,yes,yes,yes,yes
224,Control30,no,no,no,no
219,Control60,no,no,no,no
15,Cort,yes,yes,yes,yes
64,cort,yes,yes,yes,yes
93,CORT,yes,yes,yes,yes
235,Cort,yes,yes,yes,yes
315,CORT,yes,yes,yes,yes
90,CORT RFIDON,yes,yes,yes,yes
168,CORT_3d,yes,yes,yes,yes
312,CORT_3d,yes,yes,yes,yes
159,CORT_6d,yes,yes,yes,yes
304,CORT_6d,yes,yes,yes,yes
13,Cort_Collection,yes,yes,yes,yes
184,CORT_XFoster,yes,yes,yes,yes
233,CORT_XFoster,yes,yes,yes,yes
204,CORT.SP,yes,yes,yes,yes
177,CORT*RFIDON,yes,yes,yes,yes
330,CortValid,yes,yes,yes,yes
34,CTL,no,no,no,no
98,D,no,no,no,no
212,DEGG.AMF,no,no,no,no
180,DEX,no,no,no,no
20,DEX_Control,no,no,no,no
125,DEX_Treatment,no,no,no,no
173,DEX*RFIDON,no,no,no,no
63,dmso,no,no,no,no
92,DMSO,no,no,no,no
310,DMSO,no,no,no,no
154,DMSO_6d,no,no,no,no
302,DMSO_6d,no,no,no,no
14,DMSO_Collection,no,no,no,no
185,DMSO_XFoster,no,no,no,no
234,DMSO_XFoster,no,no,no,no
218,DMSO180,no,no,no,no
217,DMSO30,no,no,no,no
222,DMSO90,no,no,no,no
12,Dose_Validation,yes,yes,yes,yes
134,DRA,no,no,no,no
65,Dull_Control,no,no,no,no
320,Dull_Control,no,no,no,no
84,Dull_Predator,yes,yes,yes,yes
129,Dull_Tape,yes,yes,yes,yes
225,Early_CORT,yes,yes,yes,yes
331,Early_CORT,yes,yes,yes,yes
211,Egg_CORT,yes,yes,yes,yes
333,Egg_CORT,yes,yes,yes,yes
155,gcon,no,no,no,no
300,Heritability,no,no,no,no
95,high,yes,yes,yes,yes
139,High,yes,yes,yes,yes
274,High,yes,yes,yes,yes
306,High_Control,yes,yes,yes,yes
166,High_Tape,yes,yes,yes,yes
311,High_Tape,yes,yes,yes,yes
205,High180,yes,yes,yes,yes
209,High30,yes,yes,yes,yes
226,High60,yes,yes,yes,yes
206,High90,yes,yes,yes,yes
69,ICCON.GP,no,no,no,no
39,ICLPS.GP,no,no,no,no
216,IMEGG.AMF,no,no,no,no
38,IMMUNE,no,no,no,no
97,INT,no,no,no,no
107,L,no,no,no,no
196,LaidNonPredHatchNonPred,no,no,no,no
213,LaidNonPredHatchPred,yes,yes,yes,yes
195,LaidPredHatchNonPred,yes,yes,yes,yes
199,LaidPredHatchPred,yes,yes,yes,yes
227,LaidUnknownHatchNonPred,no,no,no,no
198,LaidUnknownHatchPred,yes,yes,yes,yes
230,LaidUnknownHatchUnknown,no,no,no,no
11,Light,no,no,no,no
232,Light,no,no,no,no
8,Light_Control,no,no,no,no
239,Light_Control,no,no,no,no
74,long,yes,yes,yes,yes
220,Long,yes,yes,yes,yes
264,long,yes,yes,yes,yes
301,Long,yes,yes,yes,yes
221,Long180,yes,yes,yes,yes
207,Long30,yes,yes,yes,yes
208,Long90,yes,yes,yes,yes
91,Low,yes,yes,yes,yes
161,low,yes,yes,yes,yes
307,Low,yes,yes,yes,yes
319,Low_Cool,yes,yes,yes,yes
147,Low_Tape,yes,yes,yes,yes
298,Low_Tape,yes,yes,yes,yes
314,Low_Unknown,yes,yes,yes,yes
214,Low180,yes,yes,yes,yes
